x,z,y
952.5,9.464041279638645,15
967.5,9.464041279638645,15
982.5,9.464041279638645,15
997.5,9.464041279638645,15
1012.5,9.464041279638645,15
1027.5,9.464041279638645,15
1042.5,9.464041279638645,15
1057.5,9.464041279638645,15
1072.5,9.464041279638645,15
1087.5,9.464041279638645,15
1102.5,9.464041279638645,15
1117.5,9.464041279638645,15
7.5,6.460720128026475,14
22.5,6.460720128026475,14
37.5,6.460720128026475,14
52.5,6.460720128026475,14
67.5,6.460720128026475,14
82.5,6.704100586857649,14
97.5,6.643255472149855,14
112.5,6.805509111370638,14
127.5,6.6026920623446586,14
142.5,6.805509111370638,14
157.5,6.785227406468039,14
172.5,6.785227406468039,14
187.5,6.947481045688821,14
202.5,6.6635371770524525,14
217.5,6.6026920623446586,14
232.5,6.6026920623446586,14
247.5,6.906917635883627,14
262.5,6.764945701565441,14
277.5,6.643255472149855,14
292.5,6.805509111370638,14
307.5,6.541846947636866,14
322.5,6.805509111370638,14
337.5,6.562128652539464,14
352.5,6.785227406468039,14
367.5,6.764945701565441,14
382.5,6.68381888195505,14
397.5,10.517061108546034,14
412.5,6.6635371770524525,14
427.5,6.825790816273235,14
442.5,7.211143209422593,14
457.5,7.799312651597929,14
472.5,8.52945402809145,14
487.5,9.685511207539523,14
502.5,14.573402089065594,14
517.5,11.591991468383718,14
532.5,13.478190024325311,14
547.5,14.755937433188974,14
562.5,15.262980055753918,14
577.5,14.471993564552603,14
592.5,12.84945717234478,14
607.5,11.38917441935774,14
622.5,9.868046551662903,14
637.5,8.671425962409636,14
652.5,7.596495602571952,14
667.5,7.33283343883818,14
682.5,7.109734684909604,14
697.5,6.967762750591419,14
712.5,6.906917635883627,14
727.5,6.481001832929072,14
742.5,6.68381888195505,14
757.5,6.7243822917602465,14
772.5,6.582410357442061,14
787.5,6.6635371770524525,14
802.5,6.704100586857649,14
817.5,6.68381888195505,14
832.5,6.744663996662844,14
847.5,6.704100586857649,14
862.5,11.997625566435673,14
877.5,6.460720128026475,14
892.5,6.460720128026475,14
907.5,6.460720128026475,14
922.5,6.460720128026475,14
937.5,6.460720128026475,14
952.5,6.460720128026475,14
967.5,6.460720128026475,14
982.5,6.460720128026475,14
997.5,6.460720128026475,14
1012.5,6.460720128026475,14
1027.5,6.460720128026475,14
1042.5,6.460720128026475,14
1057.5,6.460720128026475,14
1072.5,6.460720128026475,14
1087.5,6.460720128026475,14
1102.5,6.460720128026475,14
